BHCPR PEER GROUP DATA                        SUMMARY RATIOS                                                                PAGE 1 
                                             PEER GROUP 01 
                                             03/31/2013        03/31/2012        12/31/2012        12/31/2011        12/31/2010 
                                             ----------        ----------        ----------        ----------        ---------- 
Number of BHCs in Peer Group                         92                88                90                70                70 
 
EARNINGS AND PROFITABILITY 
-------------------------- 
PERCENT OF AVERAGE ASSETS: 
  Net Interest Income (TE)                         2.81              2.92              2.90              3.04              3.04 
  + Non-interest Income                            1.81              1.72              1.88              1.61              1.89 
  - Overhead Expense                               3.12              3.18              3.34              3.16              3.19 
  - Provision for Losses                           0.22              0.33              0.33              0.49              1.10 
  + Securities Gains (Losses)                      0.03              0.03              0.04              0.05              0.06 
  + Other Tax Equiv Adjustments                    0.00              0.00              0.00              0.00              0.00 
  = Pretax Net Oper Income (TE)                    1.42              1.26              1.28              1.12              0.77 
  Net Operating Income                             0.93              0.82              0.88              0.72              0.51 
  Net Income                                       0.95              0.82              0.87              0.72              0.51 
  Net Income (Sub S Adjusted)                      1.73              0.11              0.17               N/A               N/A 
 
PERCENT OF AVG EARNING ASSETS: 
  Interest Income (TE)                             3.87              4.14              4.07              4.32              4.54 
  Interest Expense                                 0.64              0.77              0.74              0.88              1.07 
  Net Interest Income (TE)                         3.17              3.31              3.28              3.37              3.39 
LOSSES, ALLOW, AND PAST DUE+NONACCR: 
  Net Ln&Ls Losses/Avg Loans & Leases              0.53              0.78              0.74              1.17              2.04 
  Earnings Coverage of Net Losses (X)             16.60              7.53              8.80              3.51              2.53 
  Ln&Ls Allowance/Total Loans & Leases             1.59              1.84              1.61              2.11              2.63 
  Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq              1.91              2.44              1.94              2.74              3.75 
  30-89 Days Past Due Loans and Leases             0.79              0.89              0.87              0.96              1.20 
LIQUIDITY AND FUNDING: 
  Net Noncore Funding Dependence                  18.88             19.81             19.36             20.15             25.33 
  Net ST Noncore Funding Dependence                3.31              4.24              3.45              4.17              6.24 
  Net Loans and Leases/Total Assets               58.46             56.51             57.96             57.64             57.51 
CAPITALIZATION: 
  Tier 1 Leverage Ratio                            9.53              9.65              9.37              9.26              9.03 
  Equity Capital/Total Assets                     11.58             11.08             11.30             10.91             10.66 
  Equity Capital+Minority Int/Total Assets        11.86             11.37             11.59             11.12             10.80 
  Tier 1 Common Eq Cap / T RWA                    11.62             11.69             11.46             11.33             10.47 
  Net Loans&Ls/Equity Capital (X)                  5.13              5.11              5.20              5.26              5.41 
  Cash Dividends/Net Income                       24.75             25.37             25.15             24.90             35.74 
  Cash Dividends/Net Income (Sub S Adjusted)     106.81             22.12            -19.73               N/A               N/A 
  Retained Earnings/Avg Equity Cap                 6.05              5.41              5.49              4.71              3.00 
PARENT COMPANY RATIOS: 
  Short-Term Debt/Equity Capital                   2.69              2.64              2.47              3.85              2.78 
  Long-Term Debt/Equity Capital                   12.48             11.69             13.81             14.07             16.28 
  Equity Investment in Subs/Equity Cap           105.09            106.91            106.52            107.31            108.44 
  Cash FR Oper+Noncash+Op Exp/Op Exp+Div         172.21            129.45            159.78            126.35            115.83 
 

 

BHCPR PEER GROUP DATA                        RELATIVE INCOME STATEMENT AND MARGIN ANALYSIS                                 PAGE 2 
                                             PEER GROUP 01 
PERCENT OF AVERAGE ASSETS                    03/31/2013        03/31/2012        12/31/2012        12/31/2011        12/31/2010 
-------------------------                    ----------        ----------        ----------        ----------        ---------- 
Interest Income (TE)                               3.42              3.65              3.59              3.90              4.07 
Less: Interest Expense                             0.56              0.68              0.65              0.79              0.96 
Equals: Net Interest Income (TE)                   2.81              2.92              2.90              3.04              3.04 
Plus: Non-Interest Income                          1.81              1.72              1.88              1.61              1.89 
Equals: Adj Operating Income (TE)                  4.76              4.73              4.89              4.66              4.92 
Less: Overhead Expense                             3.12              3.18              3.34              3.16              3.19 
Less: Provision for Loan and Lease Losses          0.22              0.33              0.33              0.49              1.10 
Plus: Realized G/L on HTM Sec                      0.00              0.00              0.00              0.00              0.00 
Plus: Realized G/L on AFS Sec                      0.03              0.03              0.04              0.05              0.06 
Plus: Other Tax Equiv Adjustments                  0.00              0.00              0.00              0.00              0.00 
Equals: Pretax Net Oper Inc (TE)                   1.42              1.26              1.28              1.12              0.77 
 
Less: Applicable Income Taxes (TE)                 0.47              0.43              0.42              0.39              0.29 
Less: Minority Interest                            0.00              0.00              0.01              0.01              0.00 
Equals: Net Operating Income                       0.93              0.82              0.88              0.72              0.51 
 
Plus: Net Extraordinary Items                      0.00              0.00              0.00              0.00              0.00 
Equals: Net Income                                 0.95              0.82              0.87              0.72              0.51 
Memo: Net Income (Last Four Qtrs)                  0.90              0.75              0.86              0.72              0.52 
MARGIN ANALYSIS: 
Avg Earning Assets / Avg Assets                   90.07             89.96             89.87             90.30             89.93 
Avg Int-Bearing Funds / Avg Assets                68.14             69.23             68.65             70.86             72.85 
Int Income (TE) / Avg Earning Assets               3.87              4.14              4.07              4.32              4.54 
Int Expense / Avg Earning Assets                   0.64              0.77              0.74              0.88              1.07 
Net Int Inc (TE) / Avg Earn Assets                 3.17              3.31              3.28              3.37              3.39 
 
YIELD OR COST: 
Total Loans and Leases (TE)                        4.79              5.11              5.06              5.34              5.44 
Interest-Bearing Bank Balances                     0.31              0.33              0.31              0.34              0.35 
Fed Funds Sold & Reverse Repos                     0.40              0.35              0.40              0.38              0.45 
Trading Assets                                     1.22              1.47              1.25              1.43              1.37 
Total Earning Assets                               3.81              4.09              4.03              4.26              4.46 
 
Investment Securities (TE)                         2.44              2.81              2.65              2.99              3.49 
  U.S. Treasury & Agency Sec (excl MBS)            1.40              1.72              1.48              1.74              2.23 
  Mortgage-Backed Securities                       2.36              2.81              2.69              3.16              3.82 
  All Other Securities                             3.84              4.04              4.27              4.73              4.79 
 
Interest-Bearing Deposits                          0.45              0.56              0.53              0.67              0.88 
  Time Deposits of $100K or More                   0.98              1.21              1.12              1.30              1.55 
  Time Deposits < $100K                            1.03              1.27              1.23              1.47              1.76 
  Other Domestic Deposits                          0.25              0.31              0.28              0.38              0.53 
  Foreign Deposits                                 0.39              0.43              0.45              0.50              0.48 
 
Fed Funds Purchased and Repos                      0.77              0.89              0.91              0.86              0.82 
Other Borrowed Funds & Trading Liab                2.11              2.52              2.36              2.41              2.48 
All Interest-Bearing Funds                         0.72              0.93              0.85              1.11              1.31 
 

 

BHCPR PEER GROUP DATA                        NON-INTEREST INCOME AND EXPENSES                                              PAGE 3 
                                             PEER GROUP 01 
                                             03/31/2013        03/31/2012        12/31/2012        12/31/2011        12/31/2010 
                                           ------------      ------------      ------------      ------------      ------------ 
Avg Personnel Exp Per Employee ($000)                25                24                97                90                89 
Avg Assets per Employee ($000)                    7,148             6,999             7,080             6,503             6,303 
ANALYSIS RATIOS 
--------------- 
