BHCPR PEER GROUP DATA                        SUMMARY RATIOS                                                                PAGE 1
                                             PEER GROUP 01
                                             09/30/2004        09/30/2003        12/31/2003        12/31/2002        12/31/2001
                                             ----------        ----------        ----------        ----------        ----------
Number of BHCs in Peer Group                         65                68                69                67                65

EARNINGS AND PROFITABILITY
--------------------------
PERCENT OF AVERAGE ASSETS:
  Net Interest Income (TE)                         3.15              3.19              3.18              3.48              3.34
  + Non-interest Income                            2.07              2.31              2.31              2.31              2.39
  - Overhead Expense                               3.11              3.31              3.29              3.48              3.64
  - Provision for Losses                           0.18              0.32              0.30              0.42              0.42
  + Securities Gains (Losses)                      0.04              0.07              0.06              0.06              0.06
  + Other Tax Equiv Adjustments                    0.00              0.00              0.00              0.00              0.00
  = Pretax Net Oper Income (TE)                    1.99              1.97              1.98              2.04              1.70
  Net Operating Income                             1.27              1.26              1.26              1.30              1.05
  Net Income                                       1.28              1.25              1.26              1.30              1.01
  Net Income (Sub S Adjusted)                       N/A               N/A               N/A               N/A               N/A

PERCENT OF AVG EARNING ASSETS:
  Interest Income (TE)                             4.91              5.23              5.17              6.01              7.19
  Interest Expense                                 1.40              1.63              1.58              2.11              3.43
  Net Interest Income (TE)                         3.50              3.56              3.55              3.90              3.72
LOSSES, ALLOW, AND PAST DUE+NONACCR:
  Net Ln&Ls Losses/Avg Loans & Leases              0.30              0.53              0.54              0.68              0.58
  Earnings Coverage of Net Losses (X)             20.20             11.14             10.06             10.14              9.73
  Ln&Ls Allowance/Total Loans & Leases             1.33              1.48              1.45              1.57              1.51
  Nonaccr Lns&Ls+RE Acq/Lns&Ls+RE Acq              0.62              0.86              0.77              0.94              0.94
  30-89 Days Past Due Loans and Leases             0.65              0.73              0.79              0.93              1.11
LIQUIDITY AND FUNDING:
  Net Noncore Funding Dependence                  36.57             35.22             35.57             32.89             34.71
  Net ST Noncore Funding Dependence               20.47             19.55             19.99             18.72             20.90
  Net Loans and Leases/Total Assets               60.55             58.75             58.56             59.34             58.93
CAPITALIZATION:
  Tier 1 Leverage Ratio                            7.53              7.42              7.55              7.43              7.34
  Equity Capital/Total Assets                      8.86              8.42              8.59              8.58              8.31
  Net Loans&Ls/Equity Capital (X)                  6.97              7.19              6.99              7.07              7.23
  Cash Dividends/Net Income                       33.35             32.48             32.23             29.58             37.89
  Cash Dividends/Net Income (Sub S Adjusted)        N/A               N/A               N/A               N/A               N/A
  Retained Earnings/Avg Equity Cap                 9.52              9.56              9.62             10.01              7.00
PARENT COMPANY RATIOS:
  Short-Term Debt/Equity Capital                   3.62              3.77              4.01              4.41              5.07
  Long-Term Debt/Equity Capital                   13.58             15.18             15.42             13.73             14.08
  Equity Investment in Subs/Equity Cap           110.49            111.52            110.55            110.46            109.14
  Cash FR Oper+Noncash+Op Exp/Op Exp+Div         134.84            138.48            149.30            180.56            166.06

